"Name" "MC" "MP"
"Bitcoin" "1,273,891,194,752" "55%"
"Ethereum" "378,303,467,307" "16%"
"Tether" "109,788,886,219" "5%"
"BNB" "85,351,431,106" "4%"
"Solana" "67,312,807,551" "3%"
"USDC" "33,970,955,756" "1%"
"XRP" "29,126,771,287" "1%"
"Dogecoin" "23,378,054,968" "1%"
"Toncoin" "21,468,797,457" "1%"
"Cardano" "18,037,177,236" "1%"
"Shiba Inu" "15,222,407,900" "1%"
"Avalanche" "14,456,117,343" "1%"
"Polkadot" "10,379,215,121" "0%"
"Bitcoin Cash" "10,164,301,042" "0%"
"TRON" "9,708,443,885" "0%"
"Chainlink" "8,796,810,715" "0%"
"Polygon" "7,318,534,559" "0%"
"Internet Computer" "7,082,047,910" "0%"
"NEAR Protocol" "6,523,446,259" "0%"
"Litecoin" "6,356,022,539" "0%"
"Dai" "5,348,707,595" "0%"
"UNUS SED LEO" "5,337,570,103" "0%"
"Uniswap" "4,709,666,029" "0%"
"Aptos" "4,347,179,227" "0%"
"Ethereum Classic" "4,099,589,255" "0%"
"Stacks" "3,899,534,737" "0%"
"Mantle" "3,890,287,705" "0%"
"First Digital USD" "3,590,185,611" "0%"
"Filecoin" "3,569,551,062" "0%"
"Cronos" "3,470,190,807" "0%"
"Cosmos" "3,391,205,757" "0%"
"Render" "3,367,397,657" "0%"
"Stellar" "3,345,729,981" "0%"
"OKB" "3,341,923,961" "0%"
"Bittensor" "3,243,467,332" "0%"
"Arbitrum" "3,217,001,252" "0%"
"Immutable" "3,192,621,896" "0%"
"Hedera" "3,093,773,451" "0%"
"VeChain" "3,080,316,485" "0%"
"dogwifhat" "2,967,437,929" "0%"
"Maker" "2,877,226,334" "0%"
"Kaspa" "2,811,976,885" "0%"
"The Graph" "2,790,936,761" "0%"
"Injective" "2,742,506,388" "0%"
"Optimism" "2,595,293,631" "0%"
"Pepe" "2,426,599,455" "0%"
"Theta Network" "2,302,220,178" "0%"
"Monero" "2,200,369,153" "0%"
"Celestia" "2,101,552,742" "0%"
"Fantom" "2,099,713,555" "0%"
"Fetch.ai" "2,075,263,686" "0%"
"Arweave" "2,070,074,099" "0%"
"Core" "1,912,023,867" "0%"
"THORChain" "1,888,313,922" "0%"
"Lido DAO" "1,876,553,962" "0%"
"Sui" "1,828,100,931" "0%"
"Bitget Token" "1,786,815,713" "0%"
"Sei" "1,678,256,978" "0%"
"Beam" "1,633,920,876" "0%"
"FLOKI" "1,591,690,927" "0%"
"Jupiter" "1,587,402,631" "0%"
"Algorand" "1,554,616,033" "0%"
"Ethena" "1,551,030,396" "0%"
"Gala" "1,506,916,678" "0%"
"Pendle" "1,478,015,710" "0%"
"Flow" "1,410,075,480" "0%"
"Bitcoin SV" "1,407,215,853" "0%"
"Aave" "1,359,930,017" "0%"
"Quant" "1,322,474,545" "0%"
"Neo" "1,311,497,983" "0%"
"Flare" "1,301,867,155" "0%"
"SingularityNET" "1,271,677,474" "0%"
"BitTorrent (New)" "1,269,594,610" "0%"
"Bonk" "1,240,591,055" "0%"
"MultiversX" "1,192,355,045" "0%"
"Wormhole" "1,174,631,105" "0%"
"Ondo" "1,124,653,132" "0%"
"dYdX (Native)" "1,117,868,530" "0%"
"Axie Infinity" "1,093,399,519" "0%"
"The Sandbox" "1,085,521,311" "0%"
"Ronin" "1,082,034,710" "0%"
"ORDI" "1,073,385,265" "0%"
"eCash" "1,076,068,495" "0%"
"Tezos" "1,055,555,435" "0%"
"Worldcoin" "1,051,283,606" "0%"
"Chiliz" "1,043,104,858" "0%"
"Synthetix" "1,023,834,365" "0%"
"Pyth Network" "1,008,053,001" "0%"
"Conflux" "1,005,353,136" "0%"
"Akash Network" "974,986,670" "0%"
"Starknet" "976,160,773" "0%"
"Nervos Network" "967,399,023" "0%"
"JasmyCoin" "963,492,637" "0%"
"Mina" "942,964,461" "0%"
"EOS" "926,618,452" "0%"
"Gnosis" "924,568,248" "0%"
"Decentraland" "898,011,523" "0%"
"KuCoin Token" "888,392,451" "0%"
"SATS" "816,689,888" "0%"
"Axelar" "807,385,700" "0%"
